label	tweets
neg	اعترف ان بتس كانو شوي شوي يجيبو راسي لكن اليوم بالزايد 😭
neg	توقعت اذا جات داريا بشوفهم كاملين بس لي للحين احس فيه احد ناقصهم 💔 #Avlu
neg	#الاهلي_الهلال اكتب توقعك لنتيجة لقاء الهلال والاهلي تحت التاق 👇 #تحدي_اسرع_روقان وادخل في سحب قيمة ايفون X على…
neg	نعمة المضادات الحيوية . تضع قطرة💧مضاد بنسلين على بكتيريا 🦠 فتنفجر 💥 و تموت . الأخيرة يبدو انها بكتيريا مقاومة فأخذ…
neg	الدودو جايه تكمل علي 💔
neg	أحببته حتى أقنعنى إن ما فات من العمر كان إنتظار له 🙈
neg	يبدو ان دجلة اعتادت على التهام اجساد ابنائها من سبايكر للعبارة ..👆👆💔 ما سمعته .. ان البشر يعطش فيشرب الماء .. لم…
neg	جالس أذاكر 😣
neg	يكفي استخفاف بالعقل العربي هل حقا الأمن والمخابرات في ألمانيا غير قادرة على وقف اي عصابة أو الجريمة 🤔 وا…
neg	ياليلل ترا اكلج كثير مشي 😭
neg	لو بيدي أرجع ساعتي وين أرجع؟ إليا صدفه؟ والله أبقى أفر بيها لما ترجع بشر ماعرفه! وأنهي العلاقة من العرق.. قبل الدمع…
neg	ليه محد يسوي معي كذا 💔
neg	. . . . انت يمكن الي ناسي احداث البصرة قبل شهور او متغافل عنها نقتلوا متظاهرين بدم بارد منو قتلهم 😕
neg	الله يعين بس 😔
neg	اتفرج على اداءاتهم امس تقريبا كلهم قربوا من الفانز الا بوبي من بعيد يأسر مدري ليه 💔
neg	⚛ تبي شي يقويك جنسيا 😳 ☣ فوريفر تعطيك 😉 🔸 *مجموعة تعزيز القدرة* 👨 مع🌹 _آرجي بلس والمالتي ماكا_ 🌹 ✅ ذي مني لك وهتقوي…
neg	مش وقته خالص التعب ده 😭
neg	عرفنا انه الفلوس تغير النفوس أما تتغير وانت مفلس لا هيدي قلة أدب 😒
neg	ربنا يرزقگ ببن الحلال 💔
neg	أجمل ما حل بي الوقوع بك 🥀
neg	مقبوله منك 💔
neg	السفير الامريكي كشف المستخبي 😑
neg	الله يسلمك 😓
neg	_⛔ #مناحل_ابو_سلطان . . 🍯 اقسم بالله انه عسل 🍯 . . . ⛔ سدر طبيعي ♨️ . . ⚠️ مضمون…
neg	بنشكر الله انو القلب عضلة مو عظم .. بضل التعضيل ارحم من الكسر 😔
neg	و عندما تسألني عن أحباب هذا الزمان .. فأجيبك : عابر وراء عابر ، و لا أحد يدوم.. 💔
neg	ع الأقل الماي مايعور كثر النار 😩
neg	واللي مستلم 😔
neg	.لإﺂ تغرگ ضحگتي ؤتقول❌ #مرتإﺂحﮩ😌 ;رگز بإﺂلضحگهہ❌ تسمع صؤت… #الونين 😧
neg	📌 من يخاف فليس منا.. تصبحون على خير #النصر_الاتحاد
neg	#احد_الفيحاء مبروك للفيحاء الخروج من شبح الهبوط بشكل اكثر أمانا وأريحية ممكنة 😚 وهاردلك لنادي احد اللذي اجتهد وصا…
neg	لعب فينا البعوض 😤
neg	افتكرت فيه ناس يسونها طلعت وحيده 😶
neg	لعب فينا البعوض 😤
neg	سكتشاتي القديمه 💔
neg	😭😭هذي المشكلهه :(
neg	و للاسف انه يركض موب بس يمشي 💔
neg	كيف سويتي كذا ي اسطوره 😲
neg	~~☆ #هناا_الوحي ✋ تحذير للجماهير⚠الصفرااء سلامتك خير من الدنيا ومافيها🚩 ⛔⚠✋ جميع الطرق المؤدية للملعب مغلقة وغردزه…
neg	وانت ي حزين فرحتك هتكمل امتى 🤔
neg	الابتسامه نفسها ما تتغير 😭
neg	ليه في ناس تكذب و تعطيك أمل زائف 😕
neg	بنشكر الله انو القلب عضلة مو عظم .. بضل التعضيل ارحم من الكسر 😔
neg	عندما نشتاق لمن فقدناهم ، تغيب لذة كل شئ بالحياة ابدا ليس سهلا ما يسمى بالحنين .. 💔
neg	. #فهيدان_للدعم #نجوم_الليل_للدعم 🥀 رغم كل شيء أسمع في داخلي صوتا يتلو : ﴿ لا ت…
neg	بسم الله 💔
neg	نفس تفكيري خصوصا بوجود حمتو جنبه
neg	فعلا جيل أول مرتاحين نفسيا مو مثل اللحين كل واحد منفس 💔
neg	الواحد احيانا يتعب من جمال ابتسامة شخصه المفضل 💔
neg	ي الله كيف الواحد يذاكر بذا الازعج 😭
neg	هذه حقيقة الخائن الي باع بلاده لأجل تمرير أجندة الشخصية 👎 #فساد_احمد_الفهد
neg	تختبط الشوك ولا تشاك 🌵
neg	🙄 محاولة قويه جدا لكن لا ماهي هي ..👀😁 حاول انا صراحة بديت اخاف على الجائزة 😩
neg	ماتستخدمش معايا التلميحات ابدا ، ابهرني بجرائتك عشان ماابهركش بغبائي 😏
neg	مين سرق افكاري ؟! 😒 كانت لعبتي معاك وانا بالمتوسط 🌚😂
neg	اشتقت ل سؤالف وردة قلبي بس ابيهآ تعلم من اخطاها 😖
neg	ننتظر #أخدود_الفيض 😔
neg	"والعبادات ليست ثقيلة، ولكن القلوب حين خربتها الذنوب .. أثقلتها 💔 فاستغفروا ..❤️"
neg	كسرنا رقم تشين 🤟🏻 بانقتان عندهم الف مستمع ب ساعه في ميلون فقط
